Product,ProductType,IH,CH,NT,PrecioAComprar
Romeo Y Julieta - Puritos,25 x 4 Box,,164.0,,93.0
Romeo Y Julieta - Puritos,50 x 2 Box,,164.0,,93.0
Saint Luis Rey - Pacificos RE Asia Pacifico 2009,25 Box,,1662.0,,942.0
Sancho Panza - Eslavo RE Serbia 2014,50 Box,,5200.0,,2947.0
Trinidad - Ingenios 2007,12 Box,,2440.0,,1383.0
Vintage - Bolivar Coronas Extra - DTA CCUT / 1999,25 Box,,1720.0,,975.0
Vintage - Bolivar Coronas Gigantes - 2006,50 Box,,3300.0,,1870.0
Vintage - Bolivar Gold Medal - 2009,10 Box,,1450.0,,822.0
Vintage - Bolivar Petit Coronas - 2011,50 Box,,1250.0,,709.0
Vintage - Cohiba Behike BHK 52 - 2013,10 Box,,3880.0,,2199.0
Vintage - Cohiba Behike BHK 56 - 2012,10 Box,,4950.0,,2805.0
Vintage - Cohiba Maduro 5 Genios - 2007,25 Box,,3880.0,,2199.0
Vintage - Cohiba Piramides Extra A/T - 2017,15 Box,,1770.0,,1003.0
Vintage - Cohiba Siglo III - 2017,5X5 Box,,1640.0,,930.0
Vintage - H. Upmann Magnum 46 - 2005,15 Box,,905.0,,513.0
Vintage - H.Upmann Connoisseur A - 2013,25 Box,,1158.0,,657.0
Vintage - H.Upmann Royal Robusto - 2012,10 Box,,880.0,,499.0
Vintage - H.Upmann Sir Winston - 2002,25 Box,,2670.0,,1513.0
Vintage - Hoyo de Monterrey Le Hoyo Des Dieux - 2003,50 Box,,2990.0,,1695.0
Vintage - Hoyo de Monterrey Le Hoyo Du Roi - 2002,50 Box,,2177.0,,1234.0
Vintage - La Gloria Cubana Medaille Dor No.4 - 2010,25 Box,,1610.0,,913.0
Vintage - Montecristo No.4 -  2010,25 Box,,880.0,,499.0
Vintage - Montecristo Petit No.2 - 2015,25 Box,,990.0,,561.0
Vintage - Partagas 8-9-8 (Varnished) - 1999,25 Box,,3024.0,,1714.0
Vintage - Partagas Mille Fleurs - 2015,5x5 Box,,385.0,,219.0
Vintage - Partagas Shorts - 2015,25 Box,,580.0,,329.0
Vintage - Partagas Shorts - 2015,50 Box,,1100.0,,624.0
Vintage - Ramon Allones Allones Superiores - 2010,10 Box,,770.0,,437.0
Vintage - Ramon Allones Specially Selected - 2017,50 Box,,1660.0,,941.0
Vintage - Romeo Y Julieta Belicosos - 2015,25 Box,,985.0,,559.0
Vintage - Romeo Y Julieta Cedros de Luxe No.3 - 2014,25 Box,,680.0,,386.0
Vintage - Saint Luis Rey Double Coronas - 2009,50 Box,,4150.0,,2352.0
Vintage - San Cristobal De La Habana El Morro - 2002,25 Box,,1716.0,,973.0
Vintage - San Cristobal De La Habana La Punta - 2003,25 Box,,1260.0,,714.0
Acid - 20,24 Box,,185.0,,105.0
Acid - Arte Water Tower Case,20 Box,,175.0,,100.0
Acid - Cold Infusion,24 Box,,195.0,,111.0
Acid - Cold Infusion,5x5 Box,,185.0,,105.0
Acid - Collectors Tin,14 Box,,122.0,,70.0
Acid - Corqueta A/T,50 Box,,181.0,,103.0
Acid - Frenchies Shelf Sleeve,100 Box,,157.0,,89.0
Acid - Kuba Grande,10 Box,,142.0,,81.0
Acid - Kuba Kuba,24 Box,,199.0,,113.0
Acid - Kuba Maduro,24 Box,,199.0,,113.0
Acid - Larry,10 Box,,143.0,,82.0
Acid - Toast,24 Box,,206.0,,117.0
Aging Room - Quattro Espressivo,20 Box,,143.0,,82.0
Aging Room - Quattro Maestro,20 Box,,160.0,,91.0
Aging Room - Quattro Vibrato,20 Box,,155.0,,88.0
AJ Fernandez - AJF Sampler Toro,5 Box,,55.0,,32.0
AJ Fernandez - Bellas Artes Gordo,20 Box,,148.0,,84.0
AJ Fernandez - Bellas Artes maduro Toro,20 Box,,142.0,,81.0
AJ Fernandez - Bellas Artes Robusto Extra,20 Box,,134.0,,76.0
AJ Fernandez - Bellas Artes Short Churchll,20 Box,,133.0,,76.0
AJ Fernandez - Bellas Artes Toro,20 Box,,136.0,,78.0
AJ Fernandez - Dias de Gloria Gordo,20 Box,,142.0,,81.0
AJ Fernandez - Dias de Gloria Toro,20 Box,,136.0,,78.0
AJ Fernandez - Enclave Broadleaf Churchill,20 Box,,127.0,,72.0
AJ Fernandez - Enclave Broadleaf Robusto,20 Box,,117.0,,67.0
AJ Fernandez - Enclave Broadleaf Toro,20 Box,,122.0,,70.0
AJ Fernandez - Enclave Churchill,20 Box,,117.0,,67.0
AJ Fernandez - Enclave Connecticut Edicion Internacional Figurados,20 Box,,114.0,,65.0
AJ Fernandez - Enclave Connecticut Robusto,20 Box,,105.0,,60.0
AJ Fernandez - Enclave Connecticut Toro,20 Box,,110.0,,63.0
AJ Fernandez - Enclave Toro,20 Box,,111.0,,63.0
AJ Fernandez - Last Call Chiquitas,25 Box,,108.0,,62.0
AJ Fernandez - Last Call Corticas,25 Box,,110.0,,63.0
AJ Fernandez - Last Call Flaquitas,25 Box,,124.0,,71.0
AJ Fernandez - Last Call Geniales,25 Box,,109.0,,62.0
AJ Fernandez - Last Call Maduro Chiquitas,25 Box,,111.0,,63.0
AJ Fernandez - Last Call Maduro Corticas,25 Box,,115.0,,66.0
AJ Fernandez - Last Call Maduro Flaquitas,25 Box,,131.0,,75.0
AJ Fernandez - Last Call Maduro Geniales,25 Box,,113.0,,65.0
AJ Fernandez - Last Call Maduro Pequenas,25 Box,,124.0,,71.0
AJ Fernandez - Last Call Pequenas,25 Box,,119.0,,68.0
AJ Fernandez - New World Almirante Belicoso,21 Box,,109.0,,62.0
AJ Fernandez - New World Cameroon Churchill,20 Box,,112.0,,64.0
AJ Fernandez - New World Cameroon Gordo,20 Box,,119.0,,68.0
AJ Fernandez - New World Cameroon Short Robusto,20 Box,,104.0,,59.0
AJ Fernandez - New World Cameroon Toro,20 Box,,108.0,,62.0
AJ Fernandez - New World Cameroon Torpedo,20 Box,,110.0,,63.0
AJ Fernandez - New World Connecticut Belicoso,20 Box,,105.0,,60.0
AJ Fernandez - New World Connecticut Churchill,10 Box,,73.0,,42.0
AJ Fernandez - New World Connecticut Gordo,10 Box,,72.0,,41.0
AJ Fernandez - New World Connecticut Toro,20 Box,,104.0,,59.0
AJ Fernandez - New World Double Corona,21 Box,,115.0,,66.0
AJ Fernandez - New World Gobernador Toro,21 Box,,110.0,,63.0
AJ Fernandez - New World Puro Especial Robusto,20 Box,,118.0,,67.0
AJ Fernandez - New World Puro Especial Short Churchill,20 Box,,115.0,,66.0
AJ Fernandez - New World Puro Especial Toro,20 Box,,121.0,,69.0
AJ Fernandez - New World Toro Redondo,20 Box,,107.0,,61.0
AJ Fernandez - New World Virrey Gordo,21 Box,,113.0,,65.0
AJ Fernandez - San Lotano Oval Connecticut Robusto,20 Box,,122.0,,70.0
AJ Fernandez - San Lotano Oval Gordo,20 Box,,145.0,,83.0
AJ Fernandez - San Lotano Oval Petit Robusto,20 Box,,121.0,,69.0
AJ Fernandez - San Lotano Oval Piramires,20 Box,,136.0,,78.0
AJ Fernandez - San Lotano Oval Robusto,20 Box,,131.0,,75.0
AJ Fernandez - San Lotano Oval Toro,20 Box,,135.0,,77.0
AJ Fernandez - San Lotano Requiem Connecticut Gran Toro,20 Box,,121.0,,69.0
AJ Fernandez - San Lotano Requiem Connecticut Robusto,20 Box,,104.0,,59.0
AJ Fernandez - San Lotano Requiem Connecticut Torpedo,20 Box,,113.0,,65.0
AJ Fernandez - San Lotano Requiem Habano Gran Toro,20 Box,,128.0,,73.0
AJ Fernandez - San Lotano Requiem Habano Robusto,20 Box,,113.0,,65.0
AJ Fernandez - San Lotano Requiem Habano Toro,20 Box,,115.0,,66.0
AJ Fernandez - San Lotano Requiem Maduro Robusto,20 Box,,115.0,,66.0
